Waterfront Terminal,6:20 AM,6:45 AM,6:59 AM,7:15 AM,7:26 AM,7:45 AM,7:58 AM,8:15 AM,8:28 AM,8:45 AM,8:58 AM,9:15 AM,9:28 AM,9:45 AM,9:58 AM,10:15 AM,10:28 AM,10:45 AM,10:58 AM,11:15 AM,11:28 AM,11:45 AM,11:58 AM,12:15 PM,12:28 PM,12:45 PM,12:58 PM,1:15 PM,1:28 PM,1:45 PM,1:58 PM,2:15 PM,2:28 PM,2:45 PM,2:58 PM,3:15 PM,3:28 PM,3:45 PM,3:58 PM,4:15 PM,4:28 PM,4:45 PM,4:58 PM,5:15 PM,5:28 PM,5:45 PM,6:01 PM,6:27 PM
Camelot & Court,6:20 AM,6:45 AM,6:59 AM,7:15 AM,7:26 AM,7:45 AM,7:58 AM,8:15 AM,8:28 AM,8:45 AM,8:58 AM,9:15 AM,9:28 AM,9:45 AM,9:58 AM,10:15 AM,10:28 AM,10:45 AM,10:58 AM,11:15 AM,11:28 AM,11:45 AM,11:58 AM,12:15 PM,12:28 PM,12:45 PM,12:58 PM,1:15 PM,1:28 PM,1:45 PM,1:58 PM,2:15 PM,2:28 PM,2:45 PM,2:58 PM,3:15 PM,3:28 PM,3:45 PM,3:58 PM,4:15 PM,4:28 PM,4:45 PM,4:58 PM,5:15 PM,5:28 PM,5:45 PM,6:01 PM,6:27 PM
Court & Camelot,6:20 AM,6:45 AM,6:59 AM,7:15 AM,7:26 AM,7:45 AM,7:58 AM,8:15 AM,8:28 AM,8:45 AM,8:58 AM,9:15 AM,9:28 AM,9:45 AM,9:58 AM,10:15 AM,10:28 AM,10:45 AM,10:58 AM,11:15 AM,11:28 AM,11:45 AM,11:58 AM,12:15 PM,12:28 PM,12:45 PM,12:58 PM,1:15 PM,1:28 PM,1:45 PM,1:58 PM,2:15 PM,2:28 PM,2:45 PM,2:58 PM,3:15 PM,3:28 PM,3:45 PM,3:58 PM,4:15 PM,4:28 PM,4:45 PM,4:58 PM,5:15 PM,5:28 PM,5:45 PM,6:01 PM,6:27 PM
Red River & St. Paul,6:21 AM,6:46 AM,6:58 AM,7:16 AM,7:25 AM,7:46 AM,7:57 AM,8:16 AM,8:27 AM,8:46 AM,8:57 AM,9:16 AM,9:27 AM,9:46 AM,9:57 AM,10:16 AM,10:27 AM,10:46 AM,10:57 AM,11:16 AM,11:27 AM,11:46 AM,11:57 AM,12:16 PM,12:27 PM,12:46 PM,12:57 PM,1:16 PM,1:27 PM,1:46 PM,1:57 PM,2:16 PM,2:27 PM,2:46 PM,2:57 PM,3:16 PM,3:27 PM,3:46 PM,3:57 PM,4:16 PM,4:27 PM,4:46 PM,4:57 PM,5:16 PM,5:27 PM,5:46 PM,6:00 PM,6:26 PM
Red River & Court,6:21 AM,6:46 AM,6:58 AM,7:16 AM,7:25 AM,7:46 AM,7:57 AM,8:16 AM,8:27 AM,8:46 AM,8:57 AM,9:16 AM,9:27 AM,9:46 AM,9:57 AM,10:16 AM,10:27 AM,10:46 AM,10:57 AM,11:16 AM,11:27 AM,11:46 AM,11:57 AM,12:16 PM,12:27 PM,12:46 PM,12:57 PM,1:16 PM,1:27 PM,1:46 PM,1:57 PM,2:16 PM,2:27 PM,2:46 PM,2:57 PM,3:16 PM,3:27 PM,3:46 PM,3:57 PM,4:16 PM,4:27 PM,4:46 PM,4:57 PM,5:16 PM,5:27 PM,5:46 PM,6:00 PM,6:26 PM
Red River & Algoma,6:21 AM,6:46 AM,6:58 AM,7:16 AM,7:25 AM,7:47 AM,7:56 AM,8:17 AM,8:26 AM,8:47 AM,8:56 AM,9:17 AM,9:26 AM,9:47 AM,9:56 AM,10:17 AM,10:26 AM,10:47 AM,10:56 AM,11:17 AM,11:26 AM,11:47 AM,11:56 AM,12:17 PM,12:26 PM,12:47 PM,12:56 PM,1:17 PM,1:26 PM,1:47 PM,1:56 PM,2:17 PM,2:26 PM,2:47 PM,2:56 PM,3:17 PM,3:26 PM,3:47 PM,3:56 PM,4:17 PM,4:26 PM,4:47 PM,4:56 PM,5:17 PM,5:26 PM,5:47 PM,5:59 PM,6:25 PM
Red River & Regent,6:22 AM,6:47 AM,6:57 AM,7:17 AM,7:24 AM,7:47 AM,7:56 AM,8:17 AM,8:26 AM,8:47 AM,8:56 AM,9:17 AM,9:26 AM,9:47 AM,9:56 AM,10:17 AM,10:26 AM,10:47 AM,10:56 AM,11:17 AM,11:26 AM,11:47 AM,11:56 AM,12:17 PM,12:26 PM,12:47 PM,12:56 PM,1:17 PM,1:26 PM,1:47 PM,1:56 PM,2:17 PM,2:26 PM,2:47 PM,2:56 PM,3:17 PM,3:26 PM,3:47 PM,3:56 PM,4:17 PM,4:26 PM,4:47 PM,4:56 PM,5:17 PM,5:26 PM,5:47 PM,5:59 PM,6:25 PM
Red River & Waverley,6:22 AM,6:47 AM,6:57 AM,7:17 AM,7:24 AM,7:48 AM,7:55 AM,8:18 AM,8:25 AM,8:48 AM,8:55 AM,9:18 AM,9:25 AM,9:48 AM,9:55 AM,10:18 AM,10:25 AM,10:48 AM,10:55 AM,11:18 AM,11:25 AM,11:48 AM,11:55 AM,12:18 PM,12:25 PM,12:48 PM,12:55 PM,1:18 PM,1:25 PM,1:48 PM,1:55 PM,2:18 PM,2:25 PM,2:48 PM,2:55 PM,3:18 PM,3:25 PM,3:48 PM,3:55 PM,4:18 PM,4:25 PM,4:48 PM,4:55 PM,5:18 PM,5:25 PM,5:48 PM,5:58 PM,6:24 PM
Red River & High,6:23 AM,6:48 AM,6:56 AM,7:18 AM,7:23 AM,7:49 AM,7:54 AM,8:19 AM,8:24 AM,8:49 AM,8:54 AM,9:19 AM,9:24 AM,9:49 AM,9:54 AM,10:19 AM,10:24 AM,10:49 AM,10:54 AM,11:19 AM,11:24 AM,11:49 AM,11:54 AM,12:19 PM,12:24 PM,12:49 PM,12:54 PM,1:19 PM,1:24 PM,1:49 PM,1:54 PM,2:19 PM,2:24 PM,2:49 PM,2:54 PM,3:19 PM,3:24 PM,3:49 PM,3:54 PM,4:19 PM,4:24 PM,4:49 PM,4:54 PM,5:19 PM,5:24 PM,5:49 PM,5:57 PM,6:23 PM
Red River & Hill,6:23 AM,6:48 AM,6:56 AM,7:18 AM,7:23 AM,7:49 AM,7:54 AM,8:19 AM,8:24 AM,8:49 AM,8:54 AM,9:19 AM,9:24 AM,9:49 AM,9:54 AM,10:19 AM,10:24 AM,10:49 AM,10:54 AM,11:19 AM,11:24 AM,11:49 AM,11:54 AM,12:19 PM,12:24 PM,12:49 PM,12:54 PM,1:19 PM,1:24 PM,1:49 PM,1:54 PM,2:19 PM,2:24 PM,2:49 PM,2:54 PM,3:19 PM,3:24 PM,3:49 PM,3:54 PM,4:19 PM,4:24 PM,4:49 PM,4:54 PM,5:19 PM,5:24 PM,5:49 PM,5:57 PM,6:23 PM
