time,soc
06:45:00,0
07:10:00,0
07:15:00,0
07:44:00,0
07:45:00,0
08:14:00,0
08:15:00,0
08:44:00,0
08:45:00,0
09:14:00,0
09:15:00,0
09:44:00,0
09:45:00,0
10:14:00,0
10:15:00,0
10:44:00,0
10:45:00,0
11:14:00,0
11:15:00,0
11:44:00,0
11:45:00,0
12:14:00,0
12:15:00,0
12:44:00,0
12:45:00,0
13:14:00,0
13:15:00,0
13:44:00,0
13:45:00,0
14:14:00,0
14:15:00,0
14:44:00,0
14:45:00,0
15:14:00,0
15:15:00,0
15:44:00,0
15:45:00,0
16:14:00,0
16:15:00,0
16:44:00,0
16:45:00,0
17:14:00,0
17:15:00,0
17:44:00,0
18:03:00,0
18:27:00,0
18:53:00,0
19:22:00,0
19:33:00,0
19:57:00,0
20:23:00,0
20:52:00,0
21:03:00,0
21:27:00,0
21:53:00,0
22:22:00,0
22:33:00,0
22:57:00,0
